run,leiden,annotation,best_corr,margin,metric_consensus,old_low,new_low,changed
annot_scgpt/FB080_scgpt_cluster_map,0,IN-MGE-3,0.919,0.0707,2,False,False,False
annot_scgpt/FB080_scgpt_cluster_map,1,IPC,0.8599,0.0373,3,True,False,True
annot_scgpt/FB080_scgpt_cluster_map,10,Dividing progenitor,0.9157,0.0706,3,False,False,False
annot_scgpt/FB080_scgpt_cluster_map,11,EN-IT-UL-1,0.9174,0.0058,2,True,True,False
annot_scgpt/FB080_scgpt_cluster_map,12,EN-IT-DL-3,0.8619,0.0035,2,True,True,False
annot_scgpt/FB080_scgpt_cluster_map,13,vRG,0.9104,0.0112,2,True,False,True
annot_scgpt/FB080_scgpt_cluster_map,2,EN-IT-DL-3,0.9355,0.0378,2,True,False,True
annot_scgpt/FB080_scgpt_cluster_map,3,EN-L2,0.8845,0.0154,2,True,False,True
annot_scgpt/FB080_scgpt_cluster_map,4,EN-ET-2,0.9313,0.0029,2,True,True,False
annot_scgpt/FB080_scgpt_cluster_map,5,EN-ET-5,0.9299,0.0038,2,True,True,False
annot_scgpt/FB080_scgpt_cluster_map,6,Dividing progenitor,0.8897,0.0388,3,True,False,True
annot_scgpt/FB080_scgpt_cluster_map,7,Microglia,0.8049,0.1997,3,False,False,False
annot_scgpt/FB080_scgpt_cluster_map,8,IPC,0.8822,0.0407,3,True,False,True
annot_scgpt/FB080_scgpt_cluster_map,9,EN-Mig-1,0.8573,0.0064,2,True,False,True
annot_scgpt_coarse/FB080_scgpt_cluster_map,0,IN-MGE,0.8615,0.0273,3,True,False,True
annot_scgpt_coarse/FB080_scgpt_cluster_map,1,IPC,0.8555,0.0275,2,True,False,True
annot_scgpt_coarse/FB080_scgpt_cluster_map,10,IPC,0.8827,0.0654,3,False,False,False
annot_scgpt_coarse/FB080_scgpt_cluster_map,11,Dividing progenitor,0.919,0.0784,3,False,False,False
annot_scgpt_coarse/FB080_scgpt_cluster_map,12,RG,0.9179,0.0361,3,True,False,True
annot_scgpt_coarse/FB080_scgpt_cluster_map,13,EN-IT-DL,0.9032,0.0006,2,True,True,False
annot_scgpt_coarse/FB080_scgpt_cluster_map,14,EN-IT-DL,0.8642,0.05,2,True,False,True
annot_scgpt_coarse/FB080_scgpt_cluster_map,2,EN-ET,0.9422,0.1995,3,False,False,False
annot_scgpt_coarse/FB080_scgpt_cluster_map,3,EN-ET,0.9254,0.2118,3,False,False,False
annot_scgpt_coarse/FB080_scgpt_cluster_map,4,EN-IT-UL,0.9048,0.024,3,True,False,True
annot_scgpt_coarse/FB080_scgpt_cluster_map,5,EN-IT-DL,0.9117,0.0131,2,True,True,False
annot_scgpt_coarse/FB080_scgpt_cluster_map,6,EN-L2,0.8835,0.0181,3,True,False,True
annot_scgpt_coarse/FB080_scgpt_cluster_map,7,EN-Mig,0.8677,0.0486,3,True,False,True
annot_scgpt_coarse/FB080_scgpt_cluster_map,8,RG,0.7132,0.0033,2,True,True,False
annot_scgpt_coarse/FB080_scgpt_cluster_map,9,Dividing progenitor,0.9016,0.0858,3,False,False,False
annot_scgpt_resgrid_R1.2/FB080_scgpt_cluster_map,0,IN-MGE-3,0.9016,0.0506,2,False,False,False
annot_scgpt_resgrid_R1.2/FB080_scgpt_cluster_map,1,Microglia,0.7952,0.1767,3,False,False,False
annot_scgpt_resgrid_R1.2/FB080_scgpt_cluster_map,10,EN-Mig-1,0.8576,0.0093,2,True,True,False
annot_scgpt_resgrid_R1.2/FB080_scgpt_cluster_map,11,EN-L2,0.8839,0.0121,2,True,False,True
annot_scgpt_resgrid_R1.2/FB080_scgpt_cluster_map,12,IPC,0.8588,0.0347,3,True,False,True
annot_scgpt_resgrid_R1.2/FB080_scgpt_cluster_map,13,IPC,0.8824,0.0406,3,True,False,True
annot_scgpt_resgrid_R1.2/FB080_scgpt_cluster_map,14,Dividing progenitor,0.9014,0.0807,3,False,False,False
annot_scgpt_resgrid_R1.2/FB080_scgpt_cluster_map,15,RG,0.8345,0.0683,3,False,False,False
annot_scgpt_resgrid_R1.2/FB080_scgpt_cluster_map,2,Dividing progenitor,0.9161,0.0704,3,False,False,False
annot_scgpt_resgrid_R1.2/FB080_scgpt_cluster_map,3,EN-ET-5,0.9239,0.0395,2,True,False,True
annot_scgpt_resgrid_R1.2/FB080_scgpt_cluster_map,4,EN-IT-DL-3,0.937,0.0432,2,True,False,True
annot_scgpt_resgrid_R1.2/FB080_scgpt_cluster_map,5,EN-IT-UL-1,0.9164,0.0061,2,True,True,False
annot_scgpt_resgrid_R1.2/FB080_scgpt_cluster_map,6,EN-ET-3,0.9321,0.0127,3,True,False,True
annot_scgpt_resgrid_R1.2/FB080_scgpt_cluster_map,7,vRG,0.9105,0.011,2,True,False,True
annot_scgpt_resgrid_R1.2/FB080_scgpt_cluster_map,8,EN-ET-2,0.933,0.0059,3,True,False,True
annot_scgpt_resgrid_R1.2/FB080_scgpt_cluster_map,9,EN-IT-DL-3,0.8593,0.0008,2,True,True,False
annot_scgpt_resgrid_R1.4/FB080_scgpt_cluster_map,0,IN-MGE-3,0.9137,0.0489,2,True,False,True
annot_scgpt_resgrid_R1.4/FB080_scgpt_cluster_map,1,EN-ET-5,0.9397,0.063,3,False,False,False
annot_scgpt_resgrid_R1.4/FB080_scgpt_cluster_map,10,EN-L2,0.884,0.0135,2,True,False,True
annot_scgpt_resgrid_R1.4/FB080_scgpt_cluster_map,11,EN-IT-DL-2,0.87,0.001,2,True,True,False
annot_scgpt_resgrid_R1.4/FB080_scgpt_cluster_map,12,EN-IT-DL-3,0.9359,0.0384,2,True,False,True
annot_scgpt_resgrid_R1.4/FB080_scgpt_cluster_map,13,EN-IT-DL-1,0.9218,0.0024,3,True,False,True
annot_scgpt_resgrid_R1.4/FB080_scgpt_cluster_map,14,EN-IT-UL-1,0.9168,0.0065,2,True,True,False
annot_scgpt_resgrid_R1.4/FB080_scgpt_cluster_map,15,EN-ET-2,0.9332,0.0053,3,True,False,True
annot_scgpt_resgrid_R1.4/FB080_scgpt_cluster_map,16,vRG,0.9113,0.0124,2,True,False,True
annot_scgpt_resgrid_R1.4/FB080_scgpt_cluster_map,2,Microglia,0.7768,0.1562,3,False,False,False
annot_scgpt_resgrid_R1.4/FB080_scgpt_cluster_map,3,IPC,0.8814,0.0359,2,True,False,True
annot_scgpt_resgrid_R1.4/FB080_scgpt_cluster_map,4,EN-ET-3,0.9316,0.0101,2,True,False,True
annot_scgpt_resgrid_R1.4/FB080_scgpt_cluster_map,5,IPC,0.8612,0.0388,3,True,False,True
annot_scgpt_resgrid_R1.4/FB080_scgpt_cluster_map,6,RG,0.8642,0.0001,2,True,True,False
annot_scgpt_resgrid_R1.4/FB080_scgpt_cluster_map,7,Dividing progenitor,0.9159,0.0703,3,False,False,False
annot_scgpt_resgrid_R1.4/FB080_scgpt_cluster_map,8,Dividing progenitor,0.884,0.0337,2,True,False,True
annot_scgpt_resgrid_R1.4/FB080_scgpt_cluster_map,9,EN-Mig-1,0.8577,0.0077,2,True,False,True
annot_scgpt_resgrid_R1.6/FB080_scgpt_cluster_map,0,IN-MGE-3,0.9211,0.0407,2,True,False,True
annot_scgpt_resgrid_R1.6/FB080_scgpt_cluster_map,1,Microglia,0.7835,0.1634,3,False,False,False
annot_scgpt_resgrid_R1.6/FB080_scgpt_cluster_map,10,Dividing progenitor,0.8731,0.0033,2,True,True,False
annot_scgpt_resgrid_R1.6/FB080_scgpt_cluster_map,11,EN-Mig-1,0.8583,0.0101,2,True,False,True
annot_scgpt_resgrid_R1.6/FB080_scgpt_cluster_map,12,EN-L2,0.8829,0.0129,2,True,False,True
annot_scgpt_resgrid_R1.6/FB080_scgpt_cluster_map,13,IPC,0.866,0.0467,3,True,False,True
annot_scgpt_resgrid_R1.6/FB080_scgpt_cluster_map,14,EN-IT-UL-1,0.9165,0.0065,2,True,True,False
annot_scgpt_resgrid_R1.6/FB080_scgpt_cluster_map,15,IPC,0.881,0.0338,2,True,False,True
annot_scgpt_resgrid_R1.6/FB080_scgpt_cluster_map,16,Dividing progenitor,0.8833,0.0324,2,True,False,True
annot_scgpt_resgrid_R1.6/FB080_scgpt_cluster_map,17,vRG,0.9121,0.0137,2,True,False,True
annot_scgpt_resgrid_R1.6/FB080_scgpt_cluster_map,18,Dividing progenitor,0.9135,0.0641,3,False,False,False
annot_scgpt_resgrid_R1.6/FB080_scgpt_cluster_map,2,EN-ET-5,0.9428,0.0625,3,False,False,False
annot_scgpt_resgrid_R1.6/FB080_scgpt_cluster_map,3,IN-MGE-3,0.7685,0.0345,2,True,False,True
