region,method,k,n_domains,ari_vs_layer,v_measure,layer_purity,layer_bnd_recall,domain_bnd_precision,boundary_f1
v1,banksy,6,6,0.4476,0.5412,0.7112,0.0481,0.0105,0.0172
v1,banksy,7,7,0.4271,0.5307,0.7076,0.0552,0.009,0.0154
v1,banksy,8,8,0.4263,0.5299,0.708,0.0566,0.0091,0.0157
v1,banksy,9,9,0.4094,0.5102,0.7017,0.0849,0.0109,0.0193
v1,banksy,10,10,0.4113,0.5072,0.7004,0.0919,0.0108,0.0193
v1,banksy,11,11,0.4621,0.5325,0.743,0.1372,0.0135,0.0246
v1,banksy,12,12,0.4572,0.5291,0.7438,0.1513,0.0142,0.0259
v1,banksy,13,13,0.3194,0.4848,0.7171,0.1796,0.0123,0.023
v1,banksy,14,14,0.3069,0.476,0.7343,0.2207,0.0132,0.0249
v1,stagate,6,6,0.4222,0.5394,0.6933,0.0849,0.0109,0.0194
v1,stagate,7,7,0.4006,0.5465,0.7234,0.0976,0.0109,0.0196
v1,stagate,8,8,0.4009,0.5589,0.7886,0.1344,0.014,0.0253
v1,stagate,9,9,0.3899,0.5558,0.7902,0.1641,0.0151,0.0276
v1,stagate,10,10,0.3781,0.5454,0.8126,0.2136,0.016,0.0297
v1,stagate,11,11,0.345,0.5383,0.8078,0.1839,0.0128,0.0239
v1,stagate,12,12,0.3155,0.5249,0.8065,0.2221,0.012,0.0228
v1,stagate,13,13,0.3117,0.5204,0.8075,0.2291,0.0119,0.0225
v1,stagate,14,14,0.2881,0.5156,0.8037,0.2348,0.0116,0.0221
v2,banksy,6,6,0.4721,0.5769,0.6389,0.0563,0.0118,0.0195
v2,banksy,7,7,0.4458,0.5437,0.6106,0.0969,0.0143,0.0249
v2,banksy,8,8,0.4029,0.5297,0.6096,0.1109,0.0127,0.0228
v2,banksy,9,9,0.357,0.5322,0.6368,0.1078,0.0114,0.0207
v2,banksy,10,10,0.3545,0.5243,0.6338,0.1391,0.013,0.0239
v2,banksy,11,11,0.3452,0.5214,0.6354,0.1578,0.0139,0.0256
v2,banksy,12,12,0.3248,0.5057,0.6378,0.1719,0.0132,0.0245
v2,banksy,13,13,0.4174,0.5457,0.7662,0.2234,0.0163,0.0304
v2,banksy,14,14,0.3496,0.5159,0.7085,0.2344,0.0153,0.0287
v2,stagate,6,6,0.3966,0.584,0.6567,0.0453,0.0079,0.0135
v2,stagate,7,7,0.4222,0.6017,0.702,0.0641,0.0095,0.0166
v2,stagate,8,8,0.4168,0.5923,0.7046,0.0875,0.0111,0.0197
v2,stagate,9,9,0.4516,0.6056,0.7609,0.125,0.015,0.0268
v2,stagate,10,10,0.4222,0.591,0.7605,0.1437,0.0143,0.026
v2,stagate,11,11,0.4101,0.5898,0.7745,0.1516,0.0133,0.0245
v2,stagate,12,12,0.3994,0.579,0.7697,0.1609,0.0131,0.0242
v2,stagate,13,13,0.3986,0.581,0.7898,0.1797,0.0135,0.025
v2,stagate,14,14,0.3669,0.572,0.794,0.2328,0.0154,0.0288
