region,method,k,annotation0,annotation1,n_domains,cosine_median,cosine_min,L1_median
v1,banksy,6,scvi,scgpt,6,0.5946,0.1199,1.0446
v1,banksy,7,scvi,scgpt,7,0.6097,0.1204,1.0062
v1,banksy,8,scvi,scgpt,8,0.6066,0.1203,1.0243
v1,banksy,9,scvi,scgpt,9,0.6028,0.1173,1.0435
v1,banksy,10,scvi,scgpt,10,0.6054,0.1168,1.0291
v1,banksy,11,scvi,scgpt,11,0.6123,0.1308,1.0435
v1,banksy,12,scvi,scgpt,12,0.621,0.1303,1.0241
v1,banksy,13,scvi,scgpt,13,0.6672,0.0826,1.0104
v1,banksy,14,scvi,scgpt,14,0.6351,0.0733,0.9959
v1,stagate,6,scvi,scgpt,6,0.693,0.097,0.9684
v1,stagate,7,scvi,scgpt,7,0.6871,0.0855,1.0443
v1,stagate,8,scvi,scgpt,8,0.5203,0.0693,1.1217
v1,stagate,9,scvi,scgpt,9,0.6555,0.0687,1.0724
v1,stagate,10,scvi,scgpt,10,0.682,0.0634,1.01
v1,stagate,11,scvi,scgpt,11,0.6678,0.061,1.0054
v1,stagate,12,scvi,scgpt,12,0.5489,0.0539,1.0413
v1,stagate,13,scvi,scgpt,13,0.6058,0.0539,1.0068
v1,stagate,14,scvi,scgpt,14,0.6177,0.0557,1.0329
v2,banksy,6,scvi,scgpt,6,0.7558,0.1591,0.7585
v2,banksy,7,scvi,scgpt,7,0.7119,0.1601,0.806
v2,banksy,8,scvi,scgpt,8,0.7627,0.1536,0.7143
v2,banksy,9,scvi,scgpt,9,0.7319,0.1463,0.7737
v2,banksy,10,scvi,scgpt,10,0.77,0.1454,0.7121
v2,banksy,11,scvi,scgpt,11,0.7629,0.1424,0.6762
v2,banksy,12,scvi,scgpt,12,0.773,0.1467,0.6703
v2,banksy,13,scvi,scgpt,13,0.7911,0.0891,0.6845
v2,banksy,14,scvi,scgpt,14,0.7732,0.1117,0.6961
v2,stagate,6,scvi,scgpt,6,0.7769,0.1897,0.7604
v2,stagate,7,scvi,scgpt,7,0.7552,0.1413,0.9114
v2,stagate,8,scvi,scgpt,8,0.7698,0.1395,0.7985
v2,stagate,9,scvi,scgpt,9,0.7732,0.0934,0.8444
v2,stagate,10,scvi,scgpt,10,0.7395,0.0909,0.9074
v2,stagate,11,scvi,scgpt,11,0.7744,0.0912,0.8439
v2,stagate,12,scvi,scgpt,12,0.7462,0.0891,0.7781
v2,stagate,13,scvi,scgpt,13,0.723,0.0744,0.7347
v2,stagate,14,scvi,scgpt,14,0.7599,0.0734,0.7453
