region,k,ari,p_value_ari,jaccard_matched_frac_at_thr,n_domains_method0,n_domains_method1
v1,6,0.6471,0.001,0.8333,6,6
v1,7,0.5068,0.001,1.0,7,7
v1,8,0.495,0.001,0.875,8,8
v1,9,0.4805,0.001,0.7778,9,9
v1,10,0.4669,0.001,0.7,10,10
v1,11,0.4703,0.001,0.7273,11,11
v1,12,0.4344,0.001,0.6667,12,12
v1,13,0.4161,0.001,0.6923,13,13
v1,14,0.4436,0.001,0.7143,14,14
v2,6,0.5495,0.001,0.6667,6,6
v2,7,0.5822,0.001,0.8571,7,7
v2,8,0.5743,0.001,0.875,8,8
v2,9,0.5371,0.001,0.8889,9,9
v2,10,0.5173,0.001,0.8,10,10
v2,11,0.5224,0.001,0.7273,11,11
v2,12,0.5144,0.001,0.6667,12,12
v2,13,0.5142,0.001,0.6923,13,13
v2,14,0.4447,0.001,0.7143,14,14
