annotation,method,k,region0,region1,n_niches,n_matched,n_region0_specific,n_region1_specific
scvi,banksy,6,v1,v2,6,5,1,1
scvi,banksy,7,v1,v2,7,4,3,3
scvi,banksy,8,v1,v2,8,4,4,4
scvi,banksy,9,v1,v2,9,6,3,3
scvi,banksy,10,v1,v2,10,6,4,4
scvi,banksy,11,v1,v2,11,7,4,4
scvi,banksy,12,v1,v2,12,6,6,6
scvi,banksy,13,v1,v2,13,7,6,6
scvi,banksy,14,v1,v2,14,8,6,6
scvi,stagate,6,v1,v2,6,5,1,1
scvi,stagate,7,v1,v2,7,6,1,1
scvi,stagate,8,v1,v2,8,7,1,1
scvi,stagate,9,v1,v2,9,6,3,3
scvi,stagate,10,v1,v2,10,7,3,3
scvi,stagate,11,v1,v2,11,9,2,2
scvi,stagate,12,v1,v2,12,8,4,4
scvi,stagate,13,v1,v2,13,8,5,5
scvi,stagate,14,v1,v2,14,8,6,6
scgpt,banksy,6,v1,v2,6,5,1,1
scgpt,banksy,7,v1,v2,7,5,2,2
scgpt,banksy,8,v1,v2,8,5,3,3
scgpt,banksy,9,v1,v2,9,7,2,2
scgpt,banksy,10,v1,v2,10,7,3,3
scgpt,banksy,11,v1,v2,11,7,4,4
scgpt,banksy,12,v1,v2,12,6,6,6
scgpt,banksy,13,v1,v2,13,7,6,6
scgpt,banksy,14,v1,v2,14,7,7,7
scgpt,stagate,6,v1,v2,6,6,0,0
scgpt,stagate,7,v1,v2,7,7,0,0
scgpt,stagate,8,v1,v2,8,7,1,1
scgpt,stagate,9,v1,v2,9,7,2,2
scgpt,stagate,10,v1,v2,10,8,2,2
scgpt,stagate,11,v1,v2,11,9,2,2
scgpt,stagate,12,v1,v2,12,7,5,5
scgpt,stagate,13,v1,v2,13,9,4,4
scgpt,stagate,14,v1,v2,14,10,4,4
