column,pathway,direction,rb_gw20,rb_gw34,diff_gw20,diff_gw34,q_gw20,q_gw34,persistence
r-CDH,CDH,r,-0.0414478233876122,0.1784421647689411,-0.0338071823686432,0.4763737297110415,9.594510228065324e-28,7.788939696642769e-179,gained
s-APRIL,APRIL,s,0.0254890167360892,0.1942854771713595,-0.0018647374248189,0.0085834879275698,1.9274351941247568e-11,1.1474148957983284e-211,gained
r-GIPR,GIPR,r,0.026798337822381,0.1321665077797826,0.0020877835148145,0.0071642522041277,1.7139256733468584e-12,6.4272036487808045e-99,gained
r-MHC-II,MHC-II,r,0.0278837894078314,-0.0731583388862677,-0.0102854385668837,0.0398118254168711,2.1010004137364026e-13,1.750261940716972e-31,gained
s-MELANOCORTIN,MELANOCORTIN,s,-0.0286476681932391,0.0522480143192751,-0.0035495432238771,0.0057843815791608,4.574070633698192e-14,7.975529693749914e-17,gained
s-VTN,VTN,s,-0.0296421298530606,-0.0902260307786592,-0.0166651552933387,-0.0355091777115587,5.931547796217044e-15,4.9748037294442885e-47,gained
s-CLDN,CLDN,s,0.0318200138662783,0.0890285789675919,-0.0009642585776008,0.0125401697825931,5.3202092827608473e-17,7.742764611575275e-46,gained
s-NRG,NRG,s,0.0333598305090088,-0.1148214468109943,-0.0291245097871852,-0.4354025760011719,1.5554901774183534e-18,4.1878241692140724e-75,gained
s-THY1,THY1,s,0.035096708195984,0.3188221618019717,-0.0011659554362131,0.0683603783069648,2.3792329180592275e-20,0.0,gained
s-ICAM,ICAM,s,0.035118374083422,0.1209331240241833,-0.0191452942765721,0.1065898419598505,2.2616157486981748e-20,4.109750997014441e-83,gained
s-ESAM,ESAM,s,-0.0351625726040919,0.0617108651877216,-0.0028890316835705,0.0663112024436382,2.0333012804708062e-20,7.343351559520817e-23,gained
r-ESAM,ESAM,r,-0.0351680681216972,0.0617774487225009,-0.0028890316835705,0.0663112024436382,2.0114920845687262e-20,6.625708474427679e-23,gained
s-CD6,CD6,s,-0.0367269770694449,0.1075426988234264,-0.0028573688022058,0.0090744302885792,3.928274857913831e-22,4.1847529956098544e-66,gained
r-ALCAM,ALCAM,r,-0.0367269770694449,0.1075426988234264,-0.0028573688022609,0.0090744293837011,3.928274857913831e-22,4.1847529956098544e-66,gained
r-NMU,NMU,r,0.0370243719817795,0.3383596489734772,-0.0007984810249774,0.0175424649647684,1.828457859290729e-22,0.0,gained
s-GDNF,GDNF,s,-0.0378696586939809,0.3389037777788586,-0.0040758802322176,0.0379607900524469,1.985756535973049e-23,0.0,gained
r-BTLA,BTLA,r,0.0389695921953685,0.2494906844457847,-0.0058561777977123,0.0111118004375314,1.0284488245019898e-24,0.0,gained
r-PTH,PTH,r,-0.039172372107407,0.0869478883446743,-0.0002307721407677,0.0264084016795691,5.915371342095535e-25,8.47561143184178e-44,gained
s-CDH,CDH,s,-0.0413657435719793,0.1784439522463849,-0.0338071823686432,0.4763737297110415,1.2140576112010842e-27,7.788939696642769e-179,gained
r-CD70,CD70,r,0.0427412139987184,0.0995055922508596,-0.0012366436249538,0.0022040947451289,2.119251267711824e-29,7.72175962284698e-57,gained
s-CHEMERIN,CHEMERIN,s,-0.0430411135582305,0.1021166347271604,-0.0027143200706924,0.0362271553666131,8.630811774975459e-30,9.135433956609739e-60,gained
s-NMU,NMU,s,0.0490514184212194,0.3186100234925606,-0.0007984810249774,0.0175424649647684,3.3673369262805996e-38,0.0,gained
s-PROK,PROK,s,-0.0252420116484201,0.1351124286832978,-0.0006977958033656,0.0099872864284359,2.9995327226704993e-11,2.708982312985736e-103,gained
r-NPFF,NPFF,r,-0.0007098142526997,-0.0917318954070341,-0.0028054656650399,-0.0102585773454056,0.853688488855082,1.5102557716876658e-48,gained
r-CLDN,CLDN,r,0.0318122485408913,0.0890377838684417,-0.0009642585776008,0.0125401697825931,5.3987175004875413e-17,7.613419416086698e-46,gained
r-NPR1,NPR1,r,-0.0191127558059353,0.1669807682018707,-0.0002316481359028,0.0016864256492298,4.88626647073297e-07,7.86649475310815e-157,gained
s-NPR1,NPR1,s,0.0144460953465044,0.1924812983652484,-0.0002316481359028,0.0016864256492298,0.0001438115889402,8.635685308910759e-208,gained
s-PTPRM,PTPRM,s,0.0143586817813039,0.1757980296405104,0.0167510459076686,0.3052381295765027,0.0001574111932572,1.2477036053283394e-173,gained
s-OSTN,OSTN,s,-0.0055508735248857,-0.1003449162682335,0.0092131613948892,-0.0205123127681097,0.1447517518870612,9.019382188100673e-58,gained
s-GPR,GPR,s,0.016891585055534,-0.0981059183742953,0.0042317352901576,-0.019589647940891,8.785027520474895e-06,2.6802324002154277e-55,gained
r-ICOS,ICOS,r,-0.0189312925094348,0.0732445694732899,2.573458515594661e-05,0.0036671049662849,6.25060481230438e-07,1.492956507710839e-31,gained
s-ICOS,ICOS,s,-0.0155245182945358,0.2159616871841514,2.573458515594488e-05,0.0036671049662849,4.404960165637569e-05,4.469543156877634e-261,gained
r-PTPRM,PTPRM,r,0.0143268810343786,0.1758024527352053,0.0167510459076686,0.3052381295765027,0.0001623833919039,1.2335235361366129e-173,gained
r-FGF,FGF,r,0.0147460445393916,0.1103687249813956,0.003729816574169,0.444956082127792,0.0001044072458604,1.5705928755885095e-69,gained
r-VTN,VTN,r,-0.0104683599227444,-0.0578599274308477,-0.0166651552933388,-0.0355091777115588,0.005894097280944,2.7775680298738104e-20,gained
r-GPR,GPR,r,0.0222494592007176,-0.1084252202123572,0.0042317352901576,-0.0195896479408911,4.6939162432491486e-09,3.650177170134008e-67,gained
s-FGF,FGF,s,0.0211520533249218,0.1196129564147336,0.003729816574169,0.4449560821277938,2.571895768789197e-08,2.3728645881057153e-81,gained
r-CLEC,CLEC,r,-0.0084807528066823,0.0549675457326712,-0.0311044352313359,0.0174268197917008,0.0257286123724787,1.8440753555414157e-18,gained
s-DESMOSOME,DESMOSOME,s,-0.0075289813644047,0.2070711148508977,0.003539222879141,0.0326104955397215,0.047720763664356,3.593231818632837e-240,gained
r-EPO,EPO,r,-0.0133578330413955,0.0991163903169793,-0.0007865054393614,0.0014507651068288,0.0004379621327889,2.076648654317079e-56,gained
s-MK,MK,s,-0.0960820590063807,0.0033542014231724,-0.1507624898591029,0.0712170724780305,1.894270984894587e-141,0.6051593040876986,lost
s-CDH1,CDH1,s,-0.2157910541153701,0.0154003706279761,-0.1055019519131536,-0.0012873704029311,0.0,0.0147582961200664,lost
r-HH,HH,r,0.0940770535540167,0.008103729626405,0.0105079007825934,-0.0248771670670229,1.0917329489285674e-135,0.202327295019576,lost
s-PROS,PROS,s,-0.1723680098962332,0.033849004362904,-0.0911300874047958,0.0246415020814827,0.0,7.155741012791385e-08,lost
r-GAS,GAS,r,-0.2788637461733012,0.0490826896793241,-0.1469425660768897,0.1261434784585444,0.0,5.118857747847499e-15,lost
