column,pathway,direction,v1_mean,v2_mean,diff,log2fc,rank_biserial,u_pvalue,q_value,abs_rank_biserial
s-BAG,BAG,s,0.0011447430463215164,0.002115892246953994,-0.0009711492006324776,-0.8862417793296686,-0.6118782226019931,0.0,0.0,0.6118782226019931
r-CD40,CD40,r,0.012015685221004957,0.025243901817318396,-0.013228216596313439,-1.0710159307462976,-0.5284788568117473,0.0,0.0,0.5284788568117473
r-GHRH,GHRH,r,0.004232194152910392,0.006822450943174851,-0.002590256790264459,-0.6888841734696332,-0.48560510883317,0.0,0.0,0.48560510883317
s-SEMA3,SEMA3,s,15.905696245659154,20.778790370096353,-4.873094124437198,-0.38556814582662025,-0.4788878611001537,0.0,0.0,0.4788878611001537
r-OSM,OSM,r,0.0503384019236285,0.08713005936083888,-0.036791657437210384,-0.7915110974778492,-0.4584154348252706,0.0,0.0,0.4584154348252706
r-SELPLG,SELPLG,r,0.1157886158987386,0.15937737193331267,-0.04358875603457407,-0.4609533921718906,-0.45542297337208937,0.0,0.0,0.45542297337208937
r-RANKL,RANKL,r,0.014796609399536769,0.0269834232484731,-0.01218681384893633,-0.866806718871266,-0.4509223466634088,0.0,0.0,0.4509223466634088
r-JAM,JAM,r,10.76874826128078,12.14434787271822,-1.3755996114374387,-0.17343445867646767,-0.4304004781936731,0.0,0.0,0.4304004781936731
s-GHRH,GHRH,s,0.004232194152910392,0.006822450943174852,-0.0025902567902644606,-0.6888841734696337,-0.42760823409974835,0.0,0.0,0.42760823409974835
r-EPHB,EPHB,r,8.538466988386599,9.575590013457978,-1.037123025071379,-0.1653843143924428,-0.4240741778514022,0.0,0.0,0.4240741778514022
s-MAG,MAG,s,0.000286944327746788,0.0004984431889063568,-0.0002114988611595688,-0.7966560906578867,-0.424036224863786,0.0,0.0,0.424036224863786
r-MAG,MAG,r,0.000286944327746788,0.0004984431889063568,-0.0002114988611595688,-0.7966560906578867,-0.42401566883376707,0.0,0.0,0.42401566883376707
s-CD40,CD40,s,0.012015685221004957,0.025243901817318396,-0.013228216596313439,-1.0710159307462976,-0.4169541460867774,0.0,0.0,0.4169541460867774
s-JAM,JAM,s,10.76874826128078,12.14434787271822,-1.3755996114374387,-0.17343445867646767,-0.4137113338887798,0.0,0.0,0.4137113338887798
r-NT,NT,r,0.5027408503156382,0.858504036517602,-0.3557631862019638,-0.7720099960321019,-0.4076802363181028,0.0,0.0,0.4076802363181028
s-LIGHT,LIGHT,s,0.006307650697021341,0.011352001587259854,-0.005044350890238513,-0.8477719202296583,-0.40495184923799765,0.0,0.0,0.40495184923799765
r-CSPG4,CSPG4,r,0.007657354025650227,0.012318277051030176,-0.004660923025379949,-0.685882545401503,-0.40320597504218814,0.0,0.0,0.40320597504218814
s-VCAM,VCAM,s,0.027680579920635075,0.040423985073257174,-0.012743405152622098,-0.546337367513387,-0.4014428072916465,0.0,0.0,0.4014428072916465
r-VWF,VWF,r,0.06713131791072896,0.11805601276321531,-0.05092469485248635,-0.8144136421590166,-0.39814434872688875,0.0,0.0,0.39814434872688875
s-TGFb,TGFb,s,0.6020970395611217,0.8290369175071659,-0.2269398779460442,-0.4614403226832966,-0.3940290176381298,0.0,0.0,0.3940290176381298
s-SEMA4,SEMA4,s,8.832591971289139,9.815262108845905,-0.9826701375567666,-0.15218992765385247,-0.3921606519487226,0.0,0.0,0.3921606519487226
s-OSM,OSM,s,0.050338401923628505,0.08713005936083888,-0.03679165743721038,-0.7915110974778492,-0.39051892328039584,0.0,0.0,0.39051892328039584
s-GDF,GDF,s,3.4179538665826077,3.0555901809357633,0.3623636856468444,0.1616818639671012,0.3848050969505723,0.0,0.0,0.3848050969505723
s-RANKL,RANKL,s,0.014796609399536769,0.0269834232484731,-0.01218681384893633,-0.866806718871266,-0.3831203655582649,0.0,0.0,0.3831203655582649
s-NKG2D,NKG2D,s,0.0014312576907196495,0.002479369992849847,-0.0010481123021301975,-0.7926897072958153,-0.3824011944951917,0.0,0.0,0.3824011944951917
r-BAG,BAG,r,0.0011447430463215164,0.0021158922469539936,-0.0009711492006324771,-0.8862417793296683,-0.3823903436283095,0.0,0.0,0.3823903436283095
r-VCAM,VCAM,r,0.027680579920635065,0.040423985073257174,-0.012743405152622109,-0.5463373675133875,-0.3810290646703486,0.0,0.0,0.3810290646703486
