column,pathway,direction,v1_mean,v2_mean,diff,log2fc,rank_biserial,u_pvalue,q_value,abs_rank_biserial
s-GHRELIN,GHRELIN,s,0.015694615799073094,0.007675984192573454,0.00801863160649964,1.0318459707959153,0.6946418574955164,0.0,0.0,0.6946418574955164
r-SPP1,SPP1,r,0.8897537392975149,1.2098772630568135,-0.32012352375929864,-0.4433827032090171,-0.40899765640647867,0.0,0.0,0.40899765640647867
r-RANKL,RANKL,r,0.013003180117710608,0.02135424007164529,-0.008351059953934682,-0.7156580160928134,-0.36114041392286167,1.2945255684384563e-302,1.7087737503387623e-300,0.36114041392286167
r-PARs,PARs,r,1.4573822286251283,1.69913571876077,-0.24175349013564174,-0.22142178886473657,-0.3381063002657043,1.6454733780105923e-265,1.6290186442304863e-263,0.3381063002657043
r-SCT,SCT,r,0.003283818490111512,0.0022951243257329605,0.0009886941643785516,0.5168018906687829,0.31469237830127694,2.697466450978568e-230,2.1363934291750257e-228,0.31469237830127694
r-GCG,GCG,r,0.0034106200269384,0.0021675862667873075,0.0012430337601510924,0.6539443806561518,0.3073701016407946,8.435518451268236e-220,5.567442177837036e-218,0.3073701016407946
r-MSTN,MSTN,r,0.21872109191109892,0.1903574953015316,0.028363596609567332,0.20038097244338607,0.29935400883899743,1.3582550355405446e-208,7.683842772486509e-207,0.29935400883899743
r-CDH1,CDH1,r,0.9117123058959574,1.008594409503268,-0.09688210360731053,-0.1456955799273876,-0.2957655301828266,1.1326163351785976e-203,5.606450859134058e-202,0.2957655301828266
s-GDF,GDF,s,3.110833893172297,2.8730315229917127,0.23780237018058425,0.1147275401500119,0.29564445731209243,1.6560931153192603e-203,7.286809707404746e-202,0.29564445731209243
r-LT,LT,r,0.08779258215818558,0.05636618877830689,0.031426393379878695,0.6392690159997899,0.28938005286569535,4.6177910367430725e-195,1.8286452505502566e-193,0.28938005286569535
r-EPHB,EPHB,r,7.0941717305023815,7.864048713599398,-0.7698769830970162,-0.14863800401629018,-0.28842363301760077,8.668638938935118e-194,3.1207100180166426e-192,0.28842363301760077
r-OSM,OSM,r,0.11269606112418479,0.1568816828321119,-0.044185621707927114,-0.47723982026428496,-0.2675881325058026,4.339471043032924e-167,1.432025444200865e-165,0.2675881325058026
s-IL10,IL10,s,0.01758889567210264,0.012112091604498066,0.005476804067604575,0.5382168465419113,0.26409939141541106,8.183890613295361e-163,2.4929389868192023e-161,0.26409939141541106
s-VEGF,VEGF,s,0.3958176625815125,0.5098366368703139,-0.11401897428880137,-0.3651990571239558,-0.26038852387904154,2.5077630760729447e-158,7.09338698660633e-157,0.26038852387904154
s-EPHA,EPHA,s,23.175171283121774,21.70113929700624,1.4740319861155342,0.09480921626434978,0.2566477071575861,7.206810127248018e-154,1.9025978735934767e-152,0.2566477071575861
r-PERIOSTIN,PERIOSTIN,r,0.33899547679992353,0.4233459434036601,-0.08435046660373657,-0.3205710403712238,-0.2524779511088526,5.644251115028541e-149,1.3969521509695637e-147,0.2524779511088526
s-NGL,NGL,s,2.12451773867368,2.2592918306398766,-0.1347740919661966,-0.0887352448209844,-0.24909142008687057,4.6495789103813975e-145,1.0830783814770783e-143,0.24909142008687057
