column,pathway,direction,v1_mean,v2_mean,diff,log2fc,rank_biserial,u_pvalue,q_value,abs_rank_biserial
r-CD34,CD34,r,0.06312873894458476,0.032820885035184745,0.030307853909400016,0.9436827685789464,0.5385697809306556,0.0,0.0,0.5385697809306556
r-DSPP,DSPP,r,0.022725339878328466,0.011386396483159663,0.011338943395168803,0.9969905667136355,0.5188416355783401,0.0,0.0,0.5188416355783401
s-OX40,OX40,s,0.013564560741629561,0.005444263795594742,0.008120296946034819,1.3170332934531623,0.4988119780444267,0.0,0.0,0.4988119780444267
r-LCK,LCK,r,0.0013204861579537315,0.0024264495205055586,-0.001105963362551827,-0.8777771703450769,-0.44825773235990796,0.0,0.0,0.44825773235990796
r-GNRH,GNRH,r,0.14477558866929474,0.10443622952872385,0.04033935914057089,0.47119608116037964,0.4419834068590496,0.0,0.0,0.4419834068590496
s-VEGF,VEGF,s,1.144513245695483,0.6243722715187209,0.5201409741767621,0.874255785043833,0.4188942628053911,0.0,0.0,0.4188942628053911
r-VWF,VWF,r,0.23951935636939822,0.1477408472231242,0.09177850914627403,0.6970734900434232,0.37665339839589107,0.0,0.0,0.37665339839589107
r-CD30,CD30,r,0.012786396935367506,0.0075763890214676465,0.0052100079138998594,0.7550273932205066,0.3716424607362947,0.0,0.0,0.3716424607362947
s-DSPP,DSPP,s,0.022725339878328463,0.011386396483159662,0.011338943395168801,0.9969905667136355,0.3672288688550902,0.0,0.0,0.3672288688550902
r-OX40,OX40,r,0.013564560741629561,0.0054442637955947415,0.008120296946034819,1.3170332934531626,0.35758739791923033,0.0,0.0,0.35758739791923033
s-BTLA,BTLA,s,0.03970474308682456,0.02859294264929311,0.011111800437531454,0.4736522434706857,0.34900309221438053,0.0,0.0,0.34900309221438053
s-NCAM,NCAM,s,11.108344925497189,12.031441639770426,-0.9230967142732371,-0.1151656403456076,-0.3393263945971974,0.0,0.0,0.3393263945971974
s-GDNF,GDNF,s,0.15794389626530472,0.11998310621285775,0.03796079005244697,0.3965808957098302,0.3389037777788586,0.0,0.0,0.3389037777788586
r-NMU,NMU,r,0.04612485141046307,0.028582386445694608,0.01754246496476846,0.6904178671611203,0.33835964897347726,0.0,0.0,0.33835964897347726
s-NGL,NGL,s,3.2999799930350617,3.796020966568044,-0.4960409735329825,-0.20203068297015228,-0.3363625077214162,0.0,0.0,0.3363625077214162
